timestamp,open,high,low,close,volume,datetime
1579161600000,7.69,7.69,7.6,7.608,229944.53,2020-01-16 08:00:00
1579165200000,7.607,7.637,7.479,7.536,234414.79,2020-01-16 09:00:00
1579168800000,7.536,7.588,7.45,7.568,261093.13,2020-01-16 10:00:00
1579172400000,7.567,7.84,7.498,7.84,315750.5,2020-01-16 11:00:00
1579176000000,7.829,7.958,7.703,7.713,380756.71,2020-01-16 12:00:00
1579179600000,7.728,7.746,7.54,7.659,273915.07,2020-01-16 13:00:00
1579183200000,7.666,7.73,7.564,7.697,286443.56,2020-01-16 14:00:00
1579186800000,7.69,7.971,7.603,7.899,285009.94,2020-01-16 15:00:00
1579190400000,7.899,8.292,7.803,8.25,573566.7,2020-01-16 16:00:00
1579194000000,8.249,8.624,8.247,8.338,679547.24,2020-01-16 17:00:00
1579197600000,8.348,8.48,8.23,8.401,376346.64,2020-01-16 18:00:00
1579201200000,8.401,8.448,8.341,8.352,298967.12,2020-01-16 19:00:00
1579204800000,8.364,8.59,8.352,8.545,327026.15,2020-01-16 20:00:00
1579208400000,8.545,8.566,8.262,8.357,477167.01,2020-01-16 21:00:00
1579212000000,8.355,8.41,8.269,8.309,259118.48,2020-01-16 22:00:00
1579215600000,8.309,8.476,8.309,8.4,328630.01,2020-01-16 23:00:00
1579219200000,8.394,8.444,8.149,8.198,337104.53,2020-01-17 00:00:00
1579222800000,8.193,8.404,8.172,8.38,322149.36,2020-01-17 01:00:00
1579226400000,8.395,8.409,8.275,8.35,290136.4,2020-01-17 02:00:00
1579230000000,8.35,8.62,8.335,8.497,531451.32,2020-01-17 03:00:00
1579233600000,8.498,9.438,8.498,9.21,731693.74,2020-01-17 04:00:00
1579237200000,9.21,9.481,9.053,9.463,386155.49,2020-01-17 05:00:00
1579240800000,9.476,10.45,9.476,9.736,1382298.5,2020-01-17 06:00:00
1579244400000,9.732,10.309,9.732,10.074,934657.33,2020-01-17 07:00:00
1579248000000,10.074,10.133,9.757,9.948,517605.56,2020-01-17 08:00:00
1579251600000,9.942,9.959,9.561,9.731,363809.75,2020-01-17 09:00:00
1579255200000,9.738,9.98,9.685,9.95,540778.39,2020-01-17 10:00:00
1579258800000,9.951,10.208,9.9,10.099,526811.9,2020-01-17 11:00:00
1579262400000,10.092,10.381,9.694,9.835,799459.98,2020-01-17 12:00:00
1579266000000,9.826,10.174,9.804,9.998,467868.15,2020-01-17 13:00:00
1579269600000,9.995,10.008,9.707,9.803,526402.56,2020-01-17 14:00:00
1579273200000,9.807,10.997,9.786,10.892,1255170.58,2020-01-17 15:00:00
1579276800000,10.898,12.197,10.601,11.591,2452957.37,2020-01-17 16:00:00
1579280400000,11.59,11.899,11.418,11.73,680486.98,2020-01-17 17:00:00
1579284000000,11.73,12.0,11.671,11.77,438039.74,2020-01-17 18:00:00
1579287600000,11.77,11.9,9.8,10.49,1203615.36,2020-01-17 19:00:00
1579291200000,10.492,10.69,10.03,10.102,717971.73,2020-01-17 20:00:00
1579294800000,10.094,10.363,9.901,10.249,587156.66,2020-01-17 21:00:00
1579298400000,10.25,10.534,10.01,10.043,344222.75,2020-01-17 22:00:00
1579302000000,10.053,10.237,9.103,9.16,700606.38,2020-01-17 23:00:00
1579305600000,9.16,9.738,9.159,9.427,592584.83,2020-01-18 00:00:00
1579309200000,9.425,9.538,8.823,9.497,765203.86,2020-01-18 01:00:00
1579312800000,9.493,9.587,9.24,9.407,376367.98,2020-01-18 02:00:00
1579316400000,9.403,9.58,9.361,9.471,287568.12,2020-01-18 03:00:00
1579320000000,9.471,9.471,8.933,9.085,550323.53,2020-01-18 04:00:00
1579323600000,9.085,9.249,8.856,9.054,373534.46,2020-01-18 05:00:00
1579327200000,9.07,9.343,8.901,9.298,380637.04,2020-01-18 06:00:00
1579330800000,9.294,9.549,9.155,9.194,540424.13,2020-01-18 07:00:00
1579334400000,9.193,9.39,9.063,9.312,330405.36,2020-01-18 08:00:00
1579338000000,9.307,9.496,9.234,9.327,325967.53,2020-01-18 09:00:00
1579341600000,9.322,9.409,9.182,9.297,284090.53,2020-01-18 10:00:00
1579345200000,9.286,9.3,9.085,9.247,337431.89,2020-01-18 11:00:00
1579348800000,9.248,9.52,9.2,9.363,373790.24,2020-01-18 12:00:00
1579352400000,9.354,9.464,9.21,9.308,378697.94,2020-01-18 13:00:00
1579356000000,9.293,9.32,8.976,9.15,393102.35,2020-01-18 14:00:00
1579359600000,9.148,9.15,8.502,8.711,876837.42,2020-01-18 15:00:00
1579363200000,8.714,8.945,8.022,8.388,1630677.39,2020-01-18 16:00:00
1579366800000,8.382,8.515,8.3,8.3,379522.02,2020-01-18 17:00:00
1579370400000,8.305,8.499,8.2,8.328,325311.17,2020-01-18 18:00:00
1579374000000,8.329,8.451,8.28,8.424,191712.91,2020-01-18 19:00:00
1579377600000,8.425,8.447,8.312,8.372,233705.27,2020-01-18 20:00:00
1579381200000,8.375,8.781,8.364,8.722,423329.76,2020-01-18 21:00:00
1579384800000,8.722,8.869,8.578,8.738,406304.17,2020-01-18 22:00:00
1579388400000,8.738,8.769,8.263,8.303,936682.69,2020-01-18 23:00:00
1579392000000,8.299,8.492,8.184,8.432,700375.38,2020-01-19 00:00:00
1579395600000,8.432,8.685,8.281,8.398,651913.94,2020-01-19 01:00:00
1579399200000,8.392,8.537,8.316,8.487,328632.35,2020-01-19 02:00:00
1579402800000,8.477,8.65,8.47,8.528,306680.52,2020-01-19 03:00:00
1579406400000,8.528,9.151,8.527,9.085,570321.32,2020-01-19 04:00:00
1579410000000,9.084,9.456,9.02,9.21,878754.23,2020-01-19 05:00:00
1579413600000,9.208,9.262,8.898,9.035,398532.11,2020-01-19 06:00:00
1579417200000,9.035,9.194,8.921,9.174,368433.11,2020-01-19 07:00:00
1579420800000,9.158,9.39,9.111,9.216,576476.74,2020-01-19 08:00:00
1579424400000,9.219,9.285,9.062,9.132,347074.42,2020-01-19 09:00:00
1579428000000,9.139,9.242,9.051,9.162,295953.41,2020-01-19 10:00:00
1579431600000,9.158,9.166,8.22,8.368,1533053.87,2020-01-19 11:00:00
1579435200000,8.362,8.42,8.05,8.214,776663.65,2020-01-19 12:00:00
1579438800000,8.198,8.233,7.778,8.048,964802.13,2020-01-19 13:00:00
1579442400000,8.045,8.197,7.929,8.041,533745.19,2020-01-19 14:00:00
1579446000000,8.042,8.42,7.969,8.377,635511.5,2020-01-19 15:00:00
1579449600000,8.377,8.55,8.235,8.251,960116.63,2020-01-19 16:00:00
1579453200000,8.252,8.378,8.115,8.346,386541.02,2020-01-19 17:00:00
1579456800000,8.351,8.355,8.163,8.231,308343.6,2020-01-19 18:00:00
1579460400000,8.23,8.307,8.04,8.22,343786.04,2020-01-19 19:00:00
1579464000000,8.22,8.291,8.156,8.23,309518.55,2020-01-19 20:00:00
1579467600000,8.234,8.487,8.204,8.398,460515.65,2020-01-19 21:00:00
1579471200000,8.394,8.489,8.163,8.383,364724.32,2020-01-19 22:00:00
1579474800000,8.383,8.58,8.334,8.528,326714.5,2020-01-19 23:00:00
1579478400000,8.526,8.638,8.489,8.489,340641.25,2020-01-20 00:00:00
1579482000000,8.491,8.494,8.315,8.337,284916.06,2020-01-20 01:00:00
1579485600000,8.339,8.413,8.25,8.284,210653.91,2020-01-20 02:00:00
1579489200000,8.287,8.395,8.287,8.384,187010.75,2020-01-20 03:00:00
1579492800000,8.386,8.455,8.28,8.29,218555.14,2020-01-20 04:00:00
1579496400000,8.285,8.4,8.274,8.353,226614.27,2020-01-20 05:00:00
1579500000000,8.353,8.411,8.323,8.355,188202.08,2020-01-20 06:00:00
1579503600000,8.355,8.393,8.299,8.332,206006.35,2020-01-20 07:00:00
1579507200000,8.336,8.361,8.051,8.217,383682.79,2020-01-20 08:00:00
1579510800000,8.219,8.329,8.16,8.238,333729.48,2020-01-20 09:00:00
1579514400000,8.237,8.265,8.135,8.175,255052.41,2020-01-20 10:00:00
1579518000000,8.168,8.265,8.104,8.153,265153.02,2020-01-20 11:00:00
1579521600000,8.16,8.23,8.06,8.15,369802.29,2020-01-20 12:00:00
1579525200000,8.143,8.58,8.072,8.481,812175.69,2020-01-20 13:00:00
1579528800000,8.482,9.05,8.414,8.797,1133004.88,2020-01-20 14:00:00
1579532400000,8.796,8.93,8.665,8.835,951603.05,2020-01-20 15:00:00
1579536000000,8.847,9.067,8.773,8.924,654035.58,2020-01-20 16:00:00
1579539600000,8.921,8.945,8.71,8.771,404987.74,2020-01-20 17:00:00
1579543200000,8.769,8.905,8.76,8.821,295358.87,2020-01-20 18:00:00
1579546800000,8.821,8.93,8.82,8.9,282341.25,2020-01-20 19:00:00
1579550400000,8.903,8.916,8.846,8.885,236875.24,2020-01-20 20:00:00
1579554000000,8.887,8.897,8.844,8.857,176977.66,2020-01-20 21:00:00
1579557600000,8.859,9.094,8.799,8.83,554254.02,2020-01-20 22:00:00
1579561200000,8.83,8.921,8.59,8.626,457752.6,2020-01-20 23:00:00
1579564800000,8.63,8.759,8.51,8.725,380312.39,2020-01-21 00:00:00
1579568400000,8.73,8.88,8.66,8.86,207736.67,2020-01-21 01:00:00
1579572000000,8.859,9.0,8.801,8.873,279017.62,2020-01-21 02:00:00
1579575600000,8.873,8.946,8.832,8.873,196125.66,2020-01-21 03:00:00
1579579200000,8.87,8.924,8.82,8.864,156299.87,2020-01-21 04:00:00
1579582800000,8.857,8.859,8.73,8.761,224058.84,2020-01-21 05:00:00
1579586400000,8.761,8.789,8.664,8.756,190927.98,2020-01-21 06:00:00
1579590000000,8.756,8.785,8.703,8.716,158049.55,2020-01-21 07:00:00
1579593600000,8.716,8.988,8.666,8.95,361441.79,2020-01-21 08:00:00
1579597200000,8.95,8.994,8.815,8.888,426536.49,2020-01-21 09:00:00
1579600800000,8.888,8.963,8.833,8.912,266003.05,2020-01-21 10:00:00
1579604400000,8.913,9.143,8.903,9.04,698383.38,2020-01-21 11:00:00
1579608000000,9.04,9.049,8.955,9.015,283517.16,2020-01-21 12:00:00
1579611600000,9.015,9.018,8.906,8.939,301435.88,2020-01-21 13:00:00
1579615200000,8.947,8.968,8.877,8.955,236427.93,2020-01-21 14:00:00
1579618800000,8.956,9.008,8.825,8.865,358263.3,2020-01-21 15:00:00
1579622400000,8.865,8.97,8.71,8.85,537113.14,2020-01-21 16:00:00
1579626000000,8.859,8.861,8.801,8.857,185048.99,2020-01-21 17:00:00
1579629600000,8.849,8.857,8.764,8.85,207249.0,2020-01-21 18:00:00
1579633200000,8.85,8.856,8.621,8.728,315362.76,2020-01-21 19:00:00
1579636800000,8.729,8.969,8.721,8.958,450200.5,2020-01-21 20:00:00
1579640400000,8.958,9.009,8.905,8.936,263708.71,2020-01-21 21:00:00
1579644000000,8.936,8.954,8.894,8.92,134237.82,2020-01-21 22:00:00
1579647600000,8.92,8.975,8.905,8.943,157451.44,2020-01-21 23:00:00
1579651200000,8.942,9.006,8.94,8.969,173724.94,2020-01-22 00:00:00
1579654800000,8.97,8.992,8.948,8.979,135827.77,2020-01-22 01:00:00
1579658400000,8.979,9.006,8.925,8.969,173186.03,2020-01-22 02:00:00
1579662000000,8.97,8.986,8.939,8.982,115892.63,2020-01-22 03:00:00
1579665600000,8.98,9.35,8.965,9.317,321745.76,2020-01-22 04:00:00
1579669200000,9.318,9.483,9.272,9.288,530332.63,2020-01-22 05:00:00
1579672800000,9.288,9.511,9.281,9.456,318494.96,2020-01-22 06:00:00
1579676400000,9.463,9.544,9.323,9.389,321749.55,2020-01-22 07:00:00
1579680000000,9.389,9.408,9.228,9.273,301412.05,2020-01-22 08:00:00
1579683600000,9.275,9.359,9.254,9.357,223107.43,2020-01-22 09:00:00
1579687200000,9.348,9.348,9.228,9.272,237284.69,2020-01-22 10:00:00
1579690800000,9.271,9.346,9.215,9.315,242174.04,2020-01-22 11:00:00
1579694400000,9.315,9.444,9.27,9.422,342836.72,2020-01-22 12:00:00
1579698000000,9.42,9.445,9.118,9.187,549324.96,2020-01-22 13:00:00
1579701600000,9.187,9.278,9.021,9.097,464574.79,2020-01-22 14:00:00
1579705200000,9.096,9.196,9.071,9.137,274956.06,2020-01-22 15:00:00
1579708800000,9.137,9.34,9.125,9.296,519169.15,2020-01-22 16:00:00
1579712400000,9.293,9.348,9.24,9.307,250439.83,2020-01-22 17:00:00
1579716000000,9.298,9.309,9.233,9.253,172114.19,2020-01-22 18:00:00
1579719600000,9.252,9.259,9.181,9.238,157583.2,2020-01-22 19:00:00
1579723200000,9.238,9.238,9.182,9.217,112474.84,2020-01-22 20:00:00
1579726800000,9.217,9.28,9.203,9.256,107889.69,2020-01-22 21:00:00
1579730400000,9.26,9.264,9.191,9.22,129169.94,2020-01-22 22:00:00
1579734000000,9.225,9.355,9.218,9.348,179835.73,2020-01-22 23:00:00
1579737600000,9.349,9.396,9.28,9.319,175477.88,2020-01-23 00:00:00
1579741200000,9.319,9.338,9.092,9.1,280141.49,2020-01-23 01:00:00
1579744800000,9.102,9.179,8.76,8.964,688624.76,2020-01-23 02:00:00
1579748400000,8.973,8.977,8.88,8.901,192050.59,2020-01-23 03:00:00
1579752000000,8.9,8.957,8.8,8.868,255541.81,2020-01-23 04:00:00
1579755600000,8.868,8.87,8.716,8.859,448551.71,2020-01-23 05:00:00
1579759200000,8.857,8.918,8.804,8.858,255787.98,2020-01-23 06:00:00
1579762800000,8.853,8.999,8.82,8.922,292909.92,2020-01-23 07:00:00
1579766400000,8.92,9.017,8.842,8.857,381974.55,2020-01-23 08:00:00
1579770000000,8.864,8.908,8.8,8.884,271393.06,2020-01-23 09:00:00
1579773600000,8.885,8.966,8.842,8.923,225690.01,2020-01-23 10:00:00
1579777200000,8.921,8.936,8.829,8.893,191130.44,2020-01-23 11:00:00
1579780800000,8.891,8.94,8.815,8.899,238049.94,2020-01-23 12:00:00
1579784400000,8.9,8.901,8.439,8.576,513564.04,2020-01-23 13:00:00
1579788000000,8.589,8.703,8.547,8.647,366797.03,2020-01-23 14:00:00
1579791600000,8.648,8.76,8.637,8.698,263719.84,2020-01-23 15:00:00
1579795200000,8.698,8.747,8.513,8.598,281246.39,2020-01-23 16:00:00
1579798800000,8.601,8.647,8.172,8.278,566524.08,2020-01-23 17:00:00
1579802400000,8.276,8.375,8.224,8.253,410374.25,2020-01-23 18:00:00
1579806000000,8.26,8.345,8.26,8.33,205567.68,2020-01-23 19:00:00
1579809600000,8.328,8.354,8.201,8.3,394835.67,2020-01-23 20:00:00
1579813200000,8.301,8.487,8.287,8.44,350613.82,2020-01-23 21:00:00
1579816800000,8.44,8.527,8.431,8.446,135414.16,2020-01-23 22:00:00
1579820400000,8.446,8.505,8.316,8.434,431186.9,2020-01-23 23:00:00
1579824000000,8.448,8.591,8.413,8.518,158160.97,2020-01-24 00:00:00
1579827600000,8.526,8.589,8.352,8.359,203954.49,2020-01-24 01:00:00
1579831200000,8.359,8.383,7.832,7.955,721854.65,2020-01-24 02:00:00
1579834800000,7.959,8.187,7.948,8.104,491167.41,2020-01-24 03:00:00
1579838400000,8.101,8.166,7.979,8.101,384304.85,2020-01-24 04:00:00
1579842000000,8.101,8.2,8.064,8.115,259457.67,2020-01-24 05:00:00
1579845600000,8.12,8.169,8.08,8.16,233008.56,2020-01-24 06:00:00
1579849200000,8.164,8.169,8.053,8.1,256549.92,2020-01-24 07:00:00
1579852800000,8.098,8.123,8.07,8.098,225541.44,2020-01-24 08:00:00
1579856400000,8.095,8.119,7.911,8.059,590262.63,2020-01-24 09:00:00
1579860000000,8.055,8.18,7.888,7.977,717669.81,2020-01-24 10:00:00
1579863600000,7.975,8.75,7.916,8.689,2078250.74,2020-01-24 11:00:00
1579867200000,8.682,8.845,8.489,8.703,791023.04,2020-01-24 12:00:00
1579870800000,8.704,8.759,8.566,8.735,445291.85,2020-01-24 13:00:00
1579874400000,8.738,8.795,8.675,8.755,373832.03,2020-01-24 14:00:00
1579878000000,8.756,8.796,8.616,8.773,346165.02,2020-01-24 15:00:00
1579881600000,8.773,8.837,8.6,8.62,396652.89,2020-01-24 16:00:00
1579885200000,8.62,8.697,8.563,8.612,298936.5,2020-01-24 17:00:00
1579888800000,8.619,8.669,8.57,8.59,223416.08,2020-01-24 18:00:00
1579892400000,8.588,8.73,8.558,8.674,282790.62,2020-01-24 19:00:00
1579896000000,8.674,8.696,8.609,8.636,180891.87,2020-01-24 20:00:00
1579899600000,8.634,8.68,8.605,8.66,134915.16,2020-01-24 21:00:00
1579903200000,8.66,8.66,8.551,8.628,207072.34,2020-01-24 22:00:00
1579906800000,8.628,8.661,8.551,8.608,184876.39,2020-01-24 23:00:00
1579910400000,8.608,8.617,8.076,8.206,752962.04,2020-01-25 00:00:00
1579914000000,8.211,8.337,8.138,8.261,317310.79,2020-01-25 01:00:00
1579917600000,8.267,8.37,8.262,8.352,271186.1,2020-01-25 02:00:00
1579921200000,8.353,8.448,8.308,8.354,244437.81,2020-01-25 03:00:00
1579924800000,8.355,8.408,8.325,8.354,155767.73,2020-01-25 04:00:00
1579928400000,8.355,8.388,8.243,8.344,289188.74,2020-01-25 05:00:00
1579932000000,8.345,8.41,8.331,8.355,184498.92,2020-01-25 06:00:00
1579935600000,8.356,8.403,8.33,8.34,167736.5,2020-01-25 07:00:00
1579939200000,8.336,8.68,8.317,8.573,436145.65,2020-01-25 08:00:00
1579942800000,8.569,8.605,8.49,8.519,263762.9,2020-01-25 09:00:00
1579946400000,8.516,8.551,8.36,8.404,382275.71,2020-01-25 10:00:00
1579950000000,8.404,8.481,8.336,8.413,300313.94,2020-01-25 11:00:00
1579953600000,8.415,8.475,8.32,8.328,275699.45,2020-01-25 12:00:00
1579957200000,8.328,8.465,8.321,8.402,252249.69,2020-01-25 13:00:00
1579960800000,8.404,8.472,8.355,8.362,294435.03,2020-01-25 14:00:00
1579964400000,8.357,8.425,8.336,8.38,160715.67,2020-01-25 15:00:00
1579968000000,8.377,8.477,8.361,8.41,272995.71,2020-01-25 16:00:00
1579971600000,8.412,8.439,8.381,8.388,173453.02,2020-01-25 17:00:00
1579975200000,8.387,8.441,8.37,8.373,178010.66,2020-01-25 18:00:00
1579978800000,8.374,8.443,8.37,8.41,143025.39,2020-01-25 19:00:00
1579982400000,8.409,8.433,8.38,8.42,111571.37,2020-01-25 20:00:00
1579986000000,8.42,8.476,8.414,8.441,155877.82,2020-01-25 21:00:00
1579989600000,8.441,8.538,8.413,8.415,191579.62,2020-01-25 22:00:00
1579993200000,8.425,8.491,8.384,8.393,200085.73,2020-01-25 23:00:00
1579996800000,8.388,8.388,8.227,8.316,392550.89,2020-01-26 00:00:00
1580000400000,8.316,8.384,8.303,8.354,170984.84,2020-01-26 01:00:00
1580004000000,8.356,8.361,8.303,8.334,112741.22,2020-01-26 02:00:00
1580007600000,8.334,8.51,8.326,8.462,275175.98,2020-01-26 03:00:00
1580011200000,8.462,8.469,8.412,8.444,149403.55,2020-01-26 04:00:00
1580014800000,8.442,8.545,8.442,8.477,252800.36,2020-01-26 05:00:00
1580018400000,8.48,8.51,8.427,8.437,168580.74,2020-01-26 06:00:00
1580022000000,8.437,8.5,8.419,8.495,182473.91,2020-01-26 07:00:00
1580025600000,8.49,8.665,8.489,8.537,440038.26,2020-01-26 08:00:00
1580029200000,8.53,8.612,8.524,8.599,244969.76,2020-01-26 09:00:00
1580032800000,8.599,8.693,8.589,8.649,327433.58,2020-01-26 10:00:00
1580036400000,8.649,8.674,8.589,8.668,301322.76,2020-01-26 11:00:00
1580040000000,8.67,8.72,8.611,8.67,363793.12,2020-01-26 12:00:00
1580043600000,8.671,8.773,8.667,8.685,377799.54,2020-01-26 13:00:00
1580047200000,8.685,8.733,8.632,8.702,260782.56,2020-01-26 14:00:00
1580050800000,8.701,8.73,8.64,8.683,197223.11,2020-01-26 15:00:00
1580054400000,8.683,8.772,8.611,8.762,419888.75,2020-01-26 16:00:00
1580058000000,8.762,9.266,8.725,9.26,1178271.19,2020-01-26 17:00:00
1580061600000,9.26,9.367,9.116,9.135,793211.95,2020-01-26 18:00:00
1580065200000,9.134,9.17,9.05,9.125,343176.14,2020-01-26 19:00:00
1580068800000,9.125,9.23,9.107,9.136,421964.7,2020-01-26 20:00:00
