timestamp,open,high,low,close,volume,datetime
1778716800000,0.72,0.7785,0.698,0.7417,46985301.0,2026-05-14
1778803200000,0.7417,0.8373,0.6808,0.7095,47977035.0,2026-05-15
1778889600000,0.7094,0.8115,0.6977,0.7656,51750202.0,2026-05-16
1778976000000,0.7656,0.7803,0.69,0.7219,24221724.0,2026-05-17
1779062400000,0.7218,0.7441,0.6248,0.6342,25220408.0,2026-05-18
1779148800000,0.6343,0.6505,0.5626,0.5742,39247842.0,2026-05-19
1779235200000,0.5741,0.6597,0.5532,0.6308,71164757.0,2026-05-20
1779321600000,0.6307,0.6974,0.6218,0.6608,84600279.0,2026-05-21
1779408000000,0.6609,0.7006,0.6344,0.6393,68647700.0,2026-05-22
1779494400000,0.6393,0.6727,0.6015,0.6527,68892906.0,2026-05-23
1779580800000,0.6527,0.679,0.5937,0.616,61100105.0,2026-05-24
1779667200000,0.6161,0.6565,0.6063,0.6181,66944868.0,2026-05-25
1779753600000,0.6181,0.6349,0.5932,0.6072,68612481.0,2026-05-26
1779840000000,0.6073,0.6929,0.6062,0.6383,84025799.0,2026-05-27
1779926400000,0.6382,0.658,0.5865,0.6264,63689461.0,2026-05-28
1780012800000,0.6263,0.6467,0.5888,0.6083,55331476.0,2026-05-29
1780099200000,0.6082,0.6421,0.5963,0.618,41111916.0,2026-05-30
1780185600000,0.6181,0.63,0.5977,0.6264,40275204.0,2026-05-31
1780272000000,0.6262,0.6623,0.5931,0.6334,58209548.0,2026-06-01
1780358400000,0.6333,0.639,0.5851,0.6061,57375087.0,2026-06-02
1780444800000,0.606,0.6352,0.5989,0.6105,58022602.0,2026-06-03
1780531200000,0.6104,0.6372,0.55,0.6126,71486123.0,2026-06-04
1780617600000,0.6125,0.6646,0.5866,0.646,89851147.0,2026-06-05
1780704000000,0.646,0.6616,0.5942,0.6431,67408719.0,2026-06-06
1780790400000,0.643,0.6756,0.6351,0.6608,25081368.0,2026-06-07
