timestamp,open,high,low,close,volume,datetime
1692237600000,0.222,0.222,0.1854,0.1879,47124237.0,2023-08-17 02:00:00
1692241200000,0.1878,0.1964,0.1873,0.192,63497812.0,2023-08-17 03:00:00
1692244800000,0.192,0.1984,0.1901,0.1982,42468720.0,2023-08-17 04:00:00
1692248400000,0.1983,0.1999,0.1924,0.1936,38352824.0,2023-08-17 05:00:00
1692252000000,0.1936,0.1952,0.1846,0.1903,54694768.0,2023-08-17 06:00:00
1692255600000,0.1904,0.1933,0.1867,0.192,40998958.0,2023-08-17 07:00:00
1692259200000,0.192,0.1922,0.1828,0.186,49926816.0,2023-08-17 08:00:00
1692262800000,0.186,0.1868,0.177,0.1824,106443245.0,2023-08-17 09:00:00
1692266400000,0.1825,0.1847,0.18,0.1835,63629712.0,2023-08-17 10:00:00
1692270000000,0.1834,0.1835,0.1746,0.1783,80708577.0,2023-08-17 11:00:00
1692273600000,0.1783,0.1792,0.1673,0.1736,161736116.0,2023-08-17 12:00:00
1692277200000,0.1735,0.182,0.1721,0.1756,167961026.0,2023-08-17 13:00:00
1692280800000,0.1756,0.1818,0.1733,0.1803,101695640.0,2023-08-17 14:00:00
1692284400000,0.1802,0.186,0.1771,0.1805,133810567.0,2023-08-17 15:00:00
1692288000000,0.1805,0.1805,0.1691,0.175,147627049.0,2023-08-17 16:00:00
1692291600000,0.175,0.1783,0.174,0.1755,42414628.0,2023-08-17 17:00:00
1692295200000,0.1754,0.1795,0.1746,0.1772,41635012.0,2023-08-17 18:00:00
1692298800000,0.1773,0.1821,0.1759,0.1803,36521996.0,2023-08-17 19:00:00
1692302400000,0.1802,0.1834,0.1764,0.1775,38975711.0,2023-08-17 20:00:00
1692306000000,0.1775,0.1803,0.1508,0.1616,119882500.0,2023-08-17 21:00:00
1692309600000,0.1615,0.1718,0.159,0.1697,90088336.0,2023-08-17 22:00:00
1692313200000,0.1698,0.177,0.167,0.1718,68252764.0,2023-08-17 23:00:00
1692316800000,0.1716,0.1766,0.1623,0.1653,88684115.0,2023-08-18 00:00:00
1692320400000,0.1654,0.1661,0.1587,0.1621,62651240.0,2023-08-18 01:00:00
1692324000000,0.162,0.162,0.1358,0.1436,231110513.0,2023-08-18 02:00:00
1692327600000,0.1436,0.1544,0.1435,0.1531,123356770.0,2023-08-18 03:00:00
1692331200000,0.1532,0.157,0.1492,0.1547,91789388.0,2023-08-18 04:00:00
1692334800000,0.1547,0.162,0.1541,0.1572,89693577.0,2023-08-18 05:00:00
1692338400000,0.1572,0.1712,0.1571,0.1665,142787947.0,2023-08-18 06:00:00
1692342000000,0.1665,0.1671,0.1612,0.1627,78976963.0,2023-08-18 07:00:00
1692345600000,0.1627,0.1647,0.1575,0.1621,82757799.0,2023-08-18 08:00:00
