symbol,side,opened_dt,closed_dt,days,entry,exit,reason,pnl
ZEC,LONG,2020-07-31,2020-08-22,22,70.72,73.62,ema_cross,2.8133269230769287
XLM,LONG,2020-07-31,2020-08-26,26,0.09632,0.09724,ema_cross,0.6123372093023185
XRP,LONG,2020-08-23,2020-08-28,5,0.286,0.2647,ema_cross,-5.2672013986013955
BTC,LONG,2020-07-31,2020-09-03,34,11111.97,10004.67657500099,cat_stop,-7.028619214597468
LINK,LONG,2020-07-31,2020-09-05,36,7.402,12.377,ema_cross,46.973275871386114
ETH,LONG,2020-07-31,2020-09-06,37,335.31,334.85,ema_cross,-0.15199212668873152
TRX,LONG,2020-09-05,2020-09-17,12,0.03539,0.02641,ema_cross,-10.0
BTC,SHORT,2020-09-12,2020-09-20,8,10387.81,11073.2,ema_cross,-4.676462919518174
ADA,SHORT,2020-09-06,2020-09-30,24,0.08996,0.10111,ema_cross,-8.735548688305919
XLM,SHORT,2020-09-17,2020-10-13,26,0.07999,0.0776,ema_cross,2.036348043505441
LINK,SHORT,2020-09-23,2020-10-13,20,8.732,11.418,ema_cross,-10.0
DOGE,SHORT,2020-09-11,2020-10-27,46,0.002804,0.002669,ema_cross,3.3155335235378067
XRP,SHORT,2020-11-03,2020-11-08,5,0.2353,0.2489,ema_cross,-4.103517212069699
XLM,LONG,2020-11-25,2020-11-26,1,0.19562,0.15732020373073857,cat_stop,-10.0
DOGE,LONG,2020-11-17,2020-12-11,24,0.002898,0.0031,ema_cross,4.821275362318839
XRP,LONG,2020-11-12,2020-12-16,34,0.256,0.4684,ema_cross,57.99889374999999
XLM,LONG,2020-11-27,2020-12-23,26,0.16859,0.11233073689027968,cat_stop,-10.0
DOGE,LONG,2020-12-22,2020-12-23,1,0.004777,0.0036938024544050877,cat_stop,-10.0
BTC,LONG,2020-10-21,2021-01-25,96,11900.03,32274.88,ema_cross,119.74781597357315
BCH,LONG,2020-12-28,2021-01-27,30,338.32,428.21,ema_cross,18.535224521163393
DOGE,LONG,2020-12-24,2021-01-28,35,0.003756,0.007414,ema_cross,68.0903194888179
FIL,SHORT,2020-12-19,2021-02-04,47,28.49,23.119,ema_cross,13.14583882063882
ETH,LONG,2020-11-14,2021-02-26,104,476.8,1482.13,ema_cross,147.47955109060405
AVAX,LONG,2021-01-26,2021-02-27,32,12.132,25.9721,ema_cross,79.76756389713155
DOGE,LONG,2021-02-05,2021-03-01,24,0.052781,0.048147,ema_cross,-6.199313843996891
ADA,LONG,2021-03-02,2021-03-26,24,1.29823,1.09669,ema_cross,-10.0
UNI,LONG,2021-01-29,2021-03-27,57,14.1218,28.91,ema_cross,73.21794031922276
NEAR,LONG,2021-01-28,2021-03-28,59,2.0327,5.3316,ema_cross,113.50263177055146
FIL,LONG,2021-03-27,2021-04-24,28,124.643,138.674,ema_cross,7.820712948180006
TRX,LONG,2021-03-30,2021-04-26,27,0.06479,0.10177,ema_cross,39.88171507948757
BNB,LONG,2021-02-27,2021-05-18,80,221.594,512.46,ema_cross,91.78978892930316
ETH,LONG,2021-05-05,2021-05-19,14,3243.65,2579.8695068530933,cat_stop,-10.0
XRP,LONG,2021-04-08,2021-05-20,42,0.9181,1.0579,ema_cross,10.59870602330901
ETH,LONG,2021-05-20,2021-05-21,1,2444.02,2768.42,ema_cross,9.231533162576413
DOGE,LONG,2021-04-25,2021-05-22,27,0.270045,0.35757,ema_cross,22.62281019830029
SOL,LONG,2021-02-28,2021-05-23,84,13.1862,31.223,ema_cross,95.65549911270875
ADA,LONG,2021-05-22,2021-05-24,2,1.5473,1.3136,ema_cross,-10.0
BNB,SHORT,2021-05-24,2021-07-12,49,260.7,321.81,ema_cross,-10.0
BTC,SHORT,2021-05-19,2021-07-26,68,42882.54,35370.67,ema_cross,12.211025982136324
XLM,SHORT,2021-07-13,2021-07-26,13,0.23832,0.26152,ema_cross,-6.873092984222885
BCH,SHORT,2021-05-28,2021-07-29,62,749.94,511.62,ema_cross,22.19787759020722
ZEC,SHORT,2021-05-26,2021-07-31,66,145.44,109.92,ema_cross,17.046547854785477
ADA,SHORT,2021-07-27,2021-07-31,4,1.2548,1.3099,ema_cross,-3.131026139623853
FIL,SHORT,2021-05-21,2021-08-02,73,88.638,53.835,ema_cross,27.43993271508834
BTC,LONG,2021-08-01,2021-09-11,41,41448.1,44860.83,ema_cross,5.705314597291558
ETH,LONG,2021-08-06,2021-09-14,39,2826.81,3284.17,ema_cross,11.265027561102448
ADA,LONG,2021-08-11,2021-09-14,34,1.6795,2.4004,ema_cross,29.97842381661208
LINK,LONG,2021-08-08,2021-09-21,44,24.708,23.568,ema_cross,-3.284431277319079
TRX,LONG,2021-08-11,2021-09-25,45,0.07466,0.09219,ema_cross,16.37326814894186
SOL,LONG,2021-09-12,2021-09-27,15,179.252,135.631,ema_cross,-10.0
NEAR,LONG,2021-09-15,2021-09-28,13,8.6172,6.8827,ema_cross,-10.0
HBAR,LONG,2021-09-22,2021-09-28,6,0.30563,0.31902,ema_cross,3.0095533815397735
BTC,SHORT,2021-09-29,2021-10-03,4,41002.96,48842.084732484305,cat_stop,-10.0
BNB,SHORT,2021-09-26,2021-10-04,8,349.38,430.11,ema_cross,-10.0
DOGE,SHORT,2021-09-29,2021-10-05,6,0.19638,0.2545110880579734,cat_stop,-10.0
BCH,SHORT,2021-09-28,2021-10-06,8,487.61,620.7108404319097,cat_stop,-10.0
