opened,closed,n_legs,pnl,reason
1653469200000,1654678800000,3,-0.6986,timeout
1654682400000,1655575200000,3,3.4814,tp
1655578800000,1655722800000,3,3.6417,tp
1655726400000,1655820000000,3,3.0367,tp
1655823600000,1657033200000,3,-1.7628,timeout
1657036800000,1657252800000,3,3.3546,tp
1657256400000,1658466000000,3,-3.3749,timeout
1658469600000,1659110400000,3,3.5644,tp
1659114000000,1659690000000,3,3.2714,tp
1659693600000,1660903200000,3,-18.4727,timeout
1660906800000,1661029200000,3,3.0340,tp
1661032800000,1662242400000,3,-3.8818,timeout
1662246000000,1662973200000,3,3.1384,tp
1662976800000,1664186400000,3,1.5902,timeout
1664190000000,1664550000000,3,3.0900,tp
1664553600000,1665763200000,3,-2.3068,timeout
1665766800000,1666976400000,3,-1.2928,timeout
1666980000000,1667217600000,3,3.3437,tp
1667221200000,1667552400000,3,3.2472,tp
1667556000000,1667926800000,3,3.7367,tp
1667930400000,1669140000000,3,-7.1030,timeout
1669143600000,1669194000000,3,5.5701,tp
1669197600000,1670407200000,3,-3.7412,timeout
1670410800000,1671620400000,3,-9.4378,timeout
1671624000000,1672833600000,3,-0.5832,timeout
1672837200000,1673222400000,3,3.1518,tp
1673226000000,1673640000000,3,3.2213,tp
1673643600000,1673679600000,3,3.2674,tp
1673683200000,1674529200000,3,3.3928,tp
1674532800000,1675742400000,3,0.3578,timeout
1675746000000,1676955600000,3,0.5227,timeout
1676959200000,1678168800000,3,-5.8017,timeout
1678172400000,1678719600000,3,3.3978,tp
1678723200000,1678953600000,3,3.4828,tp
1678957200000,1679047200000,3,3.4802,tp
1679050800000,1680264000000,3,-2.1093,timeout
1680267600000,1681477200000,3,-1.1557,timeout
1681480800000,1682499600000,3,3.3339,tp
1682503200000,1683712800000,3,-4.9536,timeout
1683716400000,1684926000000,3,-1.2640,timeout
1684929600000,1686139200000,3,-6.8771,timeout
1686142800000,1687352400000,3,0.3215,timeout
1687356000000,1688565600000,3,-2.0207,timeout
1688569200000,1689091200000,3,3.0463,tp
1689094800000,1690304400000,3,-4.2041,timeout
1690308000000,1691517600000,3,2.4793,timeout
1691521200000,1692730800000,3,-8.3825,timeout
1692734400000,1693321200000,3,5.6654,tp
1693324800000,1694534400000,3,-2.4900,timeout
1694538000000,1695747600000,3,0.3747,timeout
1695751200000,1696960800000,3,1.8868,timeout
1696964400000,1697605200000,3,3.2168,tp
1697608800000,1698102000000,3,5.0017,tp
1698105600000,1699171200000,3,3.1199,tp
1699174800000,1699520400000,3,3.0292,tp
1699524000000,1700733600000,3,-6.4666,timeout
1700737200000,1701817200000,3,3.0713,tp
1701820800000,1702350000000,3,3.2080,tp
1702353600000,1703084400000,3,3.0063,tp
1703088000000,1703224800000,3,3.1202,tp
1703228400000,1703599200000,3,4.3688,tp
1703602800000,1704168000000,3,3.0699,tp
1704171600000,1705381200000,3,-6.3212,timeout
1705384800000,1706418000000,3,3.2341,tp
1706421600000,1707447600000,3,3.1831,tp
