month,income,n_baskets
2020-07,1.8686,12
2020-08,25.0597,9
2020-09,22.8048,13
2020-10,26.3912,8
2020-11,6.8520,17
2020-12,-19.4506,17
2021-01,60.0826,20
2021-02,43.1434,23
2021-03,-8.2434,20
2021-04,11.2633,21
2021-05,36.9683,21
2021-06,-14.2159,16
2021-07,-33.5600,10
2021-08,18.3871,18
2021-09,25.9520,18
2021-10,-40.6373,18
2021-11,58.6323,10
2021-12,-42.5845,14
2022-01,-45.2494,14
2022-02,-27.7618,12
2022-03,-17.3922,10
2022-04,-10.8449,10
2022-05,17.1671,19
2022-06,-26.7613,8
2022-07,15.9225,13
2022-08,-39.0071,10
2022-09,-1.1326,10
2022-10,27.8168,10
2022-11,63.4883,15
2022-12,-2.3158,5
2023-01,5.8370,9
2023-02,30.8883,9
2023-03,-5.6933,10
2023-04,9.6027,9
2023-05,-14.3532,12
2023-06,44.3357,18
2023-07,-5.8528,9
2023-08,11.9349,11
2023-09,8.2311,13
2023-10,34.4497,18
2023-11,-9.1647,9
2023-12,6.9305,23
2024-01,3.9024,15
2024-02,-6.7245,17
2024-03,78.1902,20
2024-04,-20.1141,14
2024-05,31.2529,17
2024-06,22.9865,14
2024-07,2.0156,12
2024-08,-10.9040,13
2024-09,12.1851,12
2024-10,3.9779,14
2024-11,101.2909,22
2024-12,7.6952,14
2025-01,-76.9886,18
2025-02,-32.2978,17
2025-03,6.2257,22
2025-04,-30.3438,19
2025-05,-1.0477,11
2025-06,-5.3385,13
2025-07,17.9572,12
2025-08,1.2669,10
2025-09,-3.3846,9
2025-10,125.0496,18
2025-11,-55.3830,20
2025-12,-13.0620,17
2026-01,5.0283,8
2026-02,5.0760,17
2026-03,3.0405,15
2026-04,-30.3746,8
2026-05,58.0960,17
