closed_ts,pnl,reason
1593561600000,9.0915,tp
1593993600000,5.3288,tp
1594080000000,5.0103,tp
1594339200000,-7.4618,sl
1594425600000,6.3238,tp
1594512000000,9.8415,tp
1594684800000,7.8811,tp
1594771200000,4.8538,tp
1595203200000,-10.2640,sl
1595376000000,-6.0295,sl
1595635200000,4.6896,tp
1595808000000,-27.3965,sl
1596412800000,7.1199,tp
1596844800000,12.4346,tp
1597190400000,12.3160,tp
1597276800000,7.7633,tp
1597449600000,4.1525,tp
1597622400000,-11.0590,sl
1597881600000,-6.8819,sl
1597968000000,-6.7947,sl
1598054400000,6.0090,tp
1599004800000,6.9084,tp
1599091200000,22.1818,tp
1599177600000,-11.8794,sl
1599264000000,-6.2431,sl
1599350400000,7.7197,tp
1599436800000,-14.3520,sl
1599523200000,8.0757,tp
1599696000000,-8.0478,sl
1599868800000,6.1285,tp
1599955200000,4.8584,tp
1600387200000,4.7379,tp
1600560000000,-5.2620,sl
1600819200000,7.9787,tp
1602374400000,3.0885,tp
1602720000000,4.2789,tp
1602806400000,-8.3009,sl
1603065600000,3.3037,tp
1603584000000,4.5503,tp
1603670400000,3.5501,tp
1603843200000,7.8440,tp
1603929600000,8.0766,tp
1604448000000,4.3218,tp
1604707200000,-5.5680,sl
1604880000000,-6.2920,sl
1604966400000,-11.8816,sl
1605052800000,5.2670,tp
1605225600000,-5.5520,sl
1605484800000,-10.2465,sl
1605744000000,4.9510,tp
1606003200000,-5.6275,sl
1606089600000,12.8779,tp
1606176000000,18.7891,tp
1606262400000,-12.3480,sl
1606348800000,-5.3629,sl
1606435200000,13.4317,tp
1606521600000,10.0556,tp
1606608000000,-5.5231,sl
1606694400000,5.5596,tp
1606780800000,-13.9302,sl
1606867200000,4.0587,tp
1607040000000,-7.9638,sl
1607212800000,4.9807,tp
1607299200000,-7.3762,sl
1607472000000,-11.7103,sl
1607644800000,-7.4187,sl
1607990400000,-7.2854,sl
1608076800000,18.5701,tp
1608249600000,-6.3955,sl
1608595200000,3.1555,tp
1608681600000,-5.0843,sl
1609027200000,3.0039,tp
1609113600000,6.0319,tp
1609200000000,10.2269,tp
1609286400000,4.8743,tp
1609372800000,-7.1881,sl
1609459200000,-6.6506,sl
1609545600000,54.2454,tp
1609632000000,7.0378,tp
1609718400000,-20.8686,sl
1609804800000,8.9083,tp
1610236800000,-10.9280,sl
1610496000000,-10.0947,sl
1610582400000,8.6581,tp
1610755200000,8.3650,tp
1610928000000,-5.8656,sl
1611014400000,-10.0772,sl
1611100800000,6.6407,tp
1611273600000,-10.8316,sl
1611360000000,4.7532,tp
1611446400000,12.8057,tp
1611619200000,14.8950,tp
1611792000000,-5.2702,sl
1611878400000,-9.5085,sl
1611964800000,5.2254,tp
1612051200000,18.6429,tp
1612224000000,-10.7419,sl
1612310400000,10.3266,tp
1612396800000,28.1168,tp
1612483200000,-6.3303,sl
1612569600000,-9.0212,sl
1612656000000,33.6756,tp
1612742400000,-7.2834,sl
1612828800000,-12.1650,sl
1612915200000,38.2669,tp
1613001600000,-19.3751,sl
1613174400000,-16.4965,sl
1613260800000,-18.4859,sl
1613347200000,-23.1461,sl
1613433600000,-5.2685,sl
1613520000000,4.8676,tp
1613606400000,24.5656,tp
1613692800000,23.5587,tp
1613779200000,-9.1196,sl
1613865600000,5.8701,tp
1614038400000,16.4656,tp
1614124800000,12.2228,tp
1614384000000,-5.6476,sl
1614470400000,-11.7117,sl
1614556800000,3.2077,tp
1614643200000,-7.2135,sl
1614729600000,-6.5357,sl
1614816000000,-20.8070,sl
1615161600000,-9.7934,sl
1615248000000,20.7138,tp
1615420800000,8.1888,tp
1615507200000,-5.3688,sl
1615593600000,-5.8370,sl
1615766400000,-5.4720,sl
1615852800000,-14.2695,sl
1615939200000,5.8669,tp
1616025600000,-11.4301,sl
1616198400000,-7.7239,sl
1616284800000,5.4147,tp
1616544000000,4.0223,tp
1616716800000,25.2644,tp
1616803200000,-5.3828,sl
1617062400000,9.2221,tp
1617148800000,9.6894,tp
1617235200000,-7.2035,sl
1617321600000,-5.3843,sl
1617494400000,18.1242,tp
1617580800000,-7.2894,sl
1617667200000,-5.2120,sl
1617753600000,-8.9058,sl
1617926400000,4.4415,tp
1618012800000,20.3322,tp
1618185600000,-7.1682,sl
1618272000000,15.4046,tp
1618358400000,-5.9978,sl
1618531200000,9.5531,tp
1618617600000,-5.0900,sl
1618790400000,10.9319,tp
1618876800000,-13.7609,sl
1619222400000,11.3920,tp
1619395200000,-16.6043,sl
1619481600000,-7.2264,sl
1619568000000,14.0124,tp
1619654400000,-8.9939,sl
1619740800000,5.9082,tp
1619827200000,11.5847,tp
1619913600000,-5.5728,sl
1620000000000,7.3210,tp
1620086400000,15.4772,tp
1620172800000,6.8751,tp
1620259200000,-12.9863,sl
1620518400000,-6.5520,sl
1620691200000,-5.1531,sl
1620777600000,-9.0829,sl
1620864000000,3.3409,tp
1620950400000,10.7249,tp
1621036800000,-9.2807,sl
1621123200000,9.0483,tp
1621296000000,6.1863,tp
1621382400000,22.6924,tp
1621555200000,-15.8233,sl
1621728000000,9.3084,tp
1621814400000,13.5157,tp
1622073600000,-6.4258,sl
1622160000000,-12.4624,sl
1622419200000,4.2328,tp
1622505600000,7.3769,tp
1622678400000,-6.7687,sl
1622764800000,-8.3503,sl
1622851200000,5.5917,tp
1622937600000,5.2962,tp
1623024000000,4.0928,tp
1623196800000,-7.8088,sl
1623283200000,3.1612,tp
1623456000000,-6.8670,sl
1623801600000,-9.6686,sl
1624147200000,-11.3145,sl
1624233600000,12.8149,tp
1624320000000,-14.0083,sl
1624492800000,5.0734,tp
1624579200000,3.8376,tp
1625011200000,3.3256,tp
1625356800000,-9.2408,sl
1625616000000,4.0404,tp
1625788800000,-5.0689,sl
1626307200000,3.3934,tp
