closed_ts,pnl,reason
1653609600000,3.1498,tp
1653764400000,-5.6817,stop
1654005600000,-5.5122,stop
1654099200000,3.6944,tp
1654488000000,-6.9396,stop
1654498800000,3.9016,tp
1654567200000,-5.7821,stop
1654866000000,2.9938,tp
1655010000000,3.5740,tp
1655082000000,4.4765,tp
1655136000000,-7.4555,stop
1655164800000,3.1229,tp
1655319600000,3.8617,tp
1655388000000,-5.2981,stop
1655589600000,-8.2101,stop
1655654400000,3.7127,tp
1655780400000,3.2975,tp
1655820000000,-5.6676,stop
1656036000000,-5.3313,stop
1656093600000,-5.1250,stop
1656122400000,-5.1181,stop
1656507600000,3.3682,tp
1656554400000,4.5644,tp
1657134000000,-5.3732,stop
1657742400000,-1.0979,timeout
1657828800000,-5.5470,stop
1657990800000,4.2140,tp
1658113200000,4.5275,tp
1658127600000,3.1814,tp
1658246400000,3.4523,tp
1658379600000,3.1062,tp
1658635200000,-5.2204,stop
1659042000000,-5.3869,stop
1659150000000,-5.3522,stop
1659549600000,3.0707,tp
1659891600000,4.0724,tp
1659974400000,3.1910,tp
1660309200000,3.9159,tp
1660496400000,-5.3260,stop
1660633200000,3.6401,tp
1660644000000,3.0237,tp
1660946400000,3.4448,tp
1661504400000,3.1567,tp
1661724000000,3.3353,tp
1661752800000,3.1639,tp
1661871600000,-5.0787,stop
1662264000000,3.0546,tp
1662433200000,-5.0731,stop
1662645600000,-5.0963,stop
1662796800000,-5.5911,stop
1663275600000,3.2768,tp
1663326000000,3.1642,tp
1663934400000,-1.2067,timeout
1664006400000,3.6906,tp
1664089200000,3.5532,tp
1664326800000,3.3478,tp
1664413200000,-5.3003,stop
1664488800000,-6.7891,stop
1664949600000,3.4732,tp
1665165600000,3.8744,tp
1665626400000,-5.6887,stop
1666224000000,3.7202,tp
1666717200000,-6.3595,stop
1666908000000,-5.0050,stop
1666926000000,3.2701,tp
1666958400000,-5.0617,stop
1667034000000,8.4406,tp
1667055600000,3.8271,tp
1667084400000,-5.4987,stop
1667109600000,-5.1121,stop
1667138400000,-6.0854,stop
1667160000000,3.0937,tp
1667232000000,3.7499,tp
1667278800000,5.3749,tp
1667386800000,-5.9773,stop
1667523600000,4.3933,tp
1667700000000,-5.2042,stop
1667764800000,3.4059,tp
1667808000000,3.0245,tp
1667887200000,3.6738,tp
1667930400000,-10.8879,stop
1667959200000,3.9659,tp
1667980800000,4.8812,tp
1667998800000,-6.4677,stop
1668009600000,-6.2427,stop
1668016800000,5.4442,tp
1668024000000,3.2724,tp
1668034800000,-7.8814,stop
1668078000000,-5.9065,stop
1668085200000,3.2818,tp
1668178800000,-6.9233,stop
1668229200000,4.0509,tp
1668322800000,3.5639,tp
